Q01_Best part	Q02_Worst part	Q03_Time
'Very detailed knowledge of hypothesis space and it''s crucial role in the design of ML. Great!'	I did not find anything bad in the course. Everything is very well organized, and lectures and exercised are designed in a way so that one may gain the basic understanding of the ML algorithms and quickly apply them in the exercises, which are carefully crafted so as to enable the learner to execute them in jupyter notebooks.I think the last exercise of eigen vector and eigen value calculation was good, but one may have perhaps highlighted the significance of eigen vector in ML, for ex., its role in PCA and others.	4 : 10-20 hours
Hypothesis Space. Because it is often skipped in other ML courses.	I think they were the same.	2 : 1-5 hours
Features, labels and hypothesis were well explained in lecture and in the book.	'I couldn''t see the connection with eigenvectors to what we discussed at lecture. They were really hard to understand since it''s been ages from matrix algebra.'	4 : 10-20 hours
It was nice to understand the logic behind machine learning.	Invertible matrix, identity matrix and so on... Course material could contain some better examples in these area.	2 : 1-5 hours
Task 3 - Eigenvectors. In addition of introducing new concept, the task required you to understand all previous exercises.	'Task 0 - Matrices and Vectors. It was easy to skip through this exercise, since it didn''t specify anything to do for the student. Link to the numpy docs would''ve sufficed and served us better.'	2 : 1-5 hours
FeaturesI think I have know how&nbsp;numeric features can be expressed as vectors and how they can be applied in ML in simple cases.	Hypothesis Space&nbsp;I do not understand much of that.	3 : 6-10 Hours
The calculation of the eigenvectors of the data was a good recap of how eigenvectors work.	'Worst part was that I hadn''t used python before so it took quite long to do the exercise.'	4 : 10-20 hours
I found that the information on the Loss function, as presented in class was really interesting, even if I need to work to understand it some more to be sure of my level of understanding, the description in class really laid out the foundation for me.&nbsp;	I found myself a little lost going through the third task of the exercise, I had to work closely with the TAs and some classmates to make sure that I understood both how to complete the exercise and what the reasoning behind it was.&nbsp;	3 : 6-10 Hours
The last section of the notebook (eigenvectors and eigenvalues) -- was a nice refresher and I liked the interactivity.	'The quiz question on features was a bit subjective ("Features are properties of data points (such as a webcam snapshot) which can be measured easily.") as it''s not always true. Maybe qualify the statement with an "often" or "usually"?'	2 : 1-5 hours
The eigendecomposition of the covariance matrix and the eigenvectors visualization. I believe this gives a good intuition about how this works, especially in algorithms like PCA. I also liked the case of matrix invertibility.	Some quiz questions were unnecessarily tricky, like the one with the eigenvectors.	2 : 1-5 hours
'I didn''t find any exercise particularly "interesting". I think it''s a very good thing that you gave us the first exercises as a pandas/numpy/matplotlib recap (or familiarization).'	'Again, there weren''t any bad exercises. Maybe the only problem was the&nbsp;uncertainty of our answers&nbsp;correctness, but that has been already fixed to some degree with asserts in the second round.'	2 : 1-5 hours
All the python based assignments.I enjoyed learning the language and testing its possibilities	'Hypothesis space is something I''m struggling with. In general, I''m not a textbook-reading person.'	2 : 1-5 hours
I think the various graphing methods (scatter plot, line plot etc.) were the best part of the exercise. I think those really make those abstract matrixes and such visually understandable. And also teaches early one easy and quick data verification tool.	'The last part of the exercise where it asks to draw the two eigen vectors: I got stuck there because I was trying to implement it using pandas, which has plotting functions based "DataFrames". It got complicated quickly in the end, until I realised it''s probably meant to be done with the mathplotlib.pyplot, where there is direct plot function which is much straightforward to use. A hint could have been useful.'	3 : 6-10 Hours
I liked the eigen vectors part of excercise as I looking at the implementation in the notebook and actually plotting it gave better insights into understanding the concept which I wanted to learn in detail. I got a better understanding of that.&nbsp;	I would not say worse but as I already knew basic stuff, the matrices and vectors was a repetition for me but other than that I did not find any difficulty. For Eigenvectors, I was expecting little more detail in the course book or some other references to study it.	3 : 6-10 Hours
The question 18 in the questionnaire contained completely new concepts to me, such as hypothesis space, so it was good to&nbsp; have a simple question about this (and not too hard questions too early). 	The question 16 in the questionnaire was maybe too simple.	3 : 6-10 Hours
Task 3 from the exercise because it was a perfect exercise to refresh basics of statistics and linear algebra. And a good introduction into feature space because with the exercise I could see how ML people analyze feature space in the beginning to get an overview of what kind of correlation there is. Which makes it easier later to choose a good hypothesis map	Understanding&nbsp;the terminology of ML. Because coming from the sensor side I already learned a lot of different definitions for the same thingsand now with ML there is another whole new definition. I think it helps to have a good example like Roomba so I can imagine a real life scenario where ML data is coming from(actual sensor like the camera from Roomba) and how to apply ML in real world.&nbsp;	4 : 10-20 hours
Task 3 from the exercise because it was a perfect exercise to refresh basics of statistics and linear algebra. And a good introduction into feature space because with the exercise I could see how ML people analyze feature space in the beginning to get an overview of what kind of correlation there is. Which makes it easier later to choose a good hypothesis map	Understanding&nbsp;the terminology of ML. Because coming from the sensor side I already learned a lot of different definitions for the same thingsand now with ML there is another whole new definition. I think it helps to have a good example like Roomba so I can imagine a real life scenario where ML data is coming from(actual sensor like the camera from Roomba) and how to apply ML in real world.&nbsp;	4 : 10-20 hours
The example with apple drawing recognition was tangible and easy to follow, I liked the teaching style with the drawing software, keep it up!	'First lecture''s ppt. slides - not as good medium to present to us the main problematics.'	3 : 6-10 Hours
I think the exercises to work out the matrix manipulations and computations were the best part because they really helped me review and remember matrices after a long time, so it was good to apply the math into the code. It was a good introduction to handling this type of data structure in code, and after the later lectures and seeing the next exercise I can really see how useful it was to have this as a practice introduction in handling matrix operations.	'I think the worst part was maybe not a topic or exercise precisely but it did take me awhile to understand the notations and language since it had been a while since I''d taken linear algebra courses( about 3-4 years ago when I was doing my bachelors). It would have been nice to maybe have had the matrix cookbook before the class started and the heads up about knowing certain linear algebra concepts ahead of time.'	4 : 10-20 hours
Doing the fill in the blank work for basic exercises	The round was very basic for people with prior knowledge, but it seems to help others completely&nbsp;new to ML and coding&nbsp;	2 : 1-5 hours
I loved the course was arranged that a person who is new to python could do the task and stepwise task to build the concepts was really nice. I loved plotting the graphs in the exercises.&nbsp;	I did not appreciate&nbsp;the question in the quiz to find the typos.	3 : 6-10 Hours
'Examination of the Eigenvectors for a covariance space. I didn''t know about this technique before and it seems to be an elegant way to summarizing data point clouds.'	'Probably estimating the hypothesis space size. It wasn''t really clear what we had to do there.'	2 : 1-5 hours
I enjoyed doing the coding assignment. It was a useful recap of the topics covered. I did appreciate the fact that most of the code was provided for us, so that we could focus on the essential part - understanding the theory. And, of course, it also helps to learn Python better.	The one for finding typos was strange. But I do realize that the main goal was to ensure people read the chapters, so I guess it makes sense.	3 : 6-10 Hours
Understanding that ML is about finding labels.&nbsp;	'Most of the mathy talk in the book and in the lecture. It seemed over-complicated and I would''ve liked it to be explained simply first, and then in detail. "This loss function is 0 when we''re here and 1 here and..." made it tough to understand that it''s just "if the answer is wrong, loss is 1".'	3 : 6-10 Hours
The Jupyter notebook is really convenient as it helps to start faster and avoid setup problems.	I think it would be better to indicate the number of correct answers if multiple in the quiz.	3 : 6-10 Hours
The scatter plot was pretty interesting, and a good way to introduce the relationship between features or between features and labels.&nbsp;	'The matrix initial questions on the quiz, because there wasn''t content about it either in the book or in the jupyter notebook.'	3 : 6-10 Hours
Features and labels were well described so that even with students with no previous experience could understand	The hypothesis space was too difficult for me to understand	2 : 1-5 hours
I found them all equally good.	None, since I think they were all equally good.	3 : 6-10 Hours
Hypothesis space, it is a good idea of search a solution in the big hypothesis space.	Algebra part, it is not explained in the book well.	1 : less than 1 hour
The python&nbsp;notebook problems where interesting to solve.	The math aspect of the machine learning could have been explained a bit more in detail.	2 : 1-5 hours
The Basics were well put out and defined and the exercises were well defined as well&nbsp;	Nothing as such comes to mind	3 : 6-10 Hours
The exercise. It can help me practice and understand the concepts further.	The lecture. It is not specific in the mathematics part.	4 : 10-20 hours
The apple drawing topic. As I am concerned, it was interesting and easy to understand features, labels, loss function and hypothesis. And it made me understand the theme of machine learning.	The coding part. Without background of python programming, I have to search a lot of functions and try to fit them into the code. I thought it was a little exhausting and inefficient.	5 : more than 20 hours
'Very hard to pick best part. Reading the textbook felt like there''s much to learn. Every now and then there was a note "Look chapter 2+x". '	'Loss functions could be in their own chapter. They could also be opened a bit more. Though I''m not sure if it was intentional that at the start, we are introduced to idea that they exist and there are some well known solutions.&nbsp; '	4 : 10-20 hours
The exercise for quiz 1 was a very good refresher for revising python functions and matrices.	Nothing specific	4 : 10-20 hours
Task 3 in the exercise. It gives good example of eigenvectors and help me to understand better.	The first plotting part, just for me because I already have experience on it.	2 : 1-5 hours
Task 0 1 and 2 were good. Got to know about how things work on python as this was my first experience.	'The eigenvalues part. I don''t get how we specified the values of the eigenvectors to plot the graph.'	2 : 1-5 hours
The Python Introduction, because I never wirked with python before and could easily get into it.	Understadning the coursebook takes some times and is the most difficult part yet.	3 : 6-10 Hours
I liked excercise one and two were really good explained. I have never used python but could fullfill the tasks.	The second question in the quiz was really hard.	3 : 6-10 Hours
I liked the overall introduction to the subject.	The topic about the hypothesis space was hard to understand.	3 : 6-10 Hours
'For me the mathematical notations have allways been a struggle, due to laziness. Thanks to this course I have managed to force myself into improving on the aforesaid lack.When it comes to this round I felt that, as I didn''t know any Python in advance, making numpy etc. libraries familiar by the excersices was a good choice.'	It was sort of difficult to see the big picture whilst doing the exercises. Afterwards it kinda started to make sence what each assignment was for.	4 : 10-20 hours
The best part of this round was the second and third task in the notebook material because the learned concepts could be used in the practice.	The matrices were hard to understand after a long break to the matrix algebra. I had to search lot of information online.	4 : 10-20 hours
example with calculating the confidence whether a drawing shows an applebecause it repeated the theory you have already learned before and gave some new insight	worst part was watching the recorded video of the first lecture as I could not attend first lecturefrom time to time the video just stopped for a few seconds and afterwards continued, in addition the big shown screen was&nbsp;freezed from minute 30 until the end	3 : 6-10 Hours
'I really liked the python assignment as It gave a lot of freedom to do things as I would prefer it. The python assigments were as expected more an intro into using python instead of actually using the ML libraries. I think this was a good introduction and I''m looking forward to getting started with some ML assignments.'	The first part of the quiz was very differenty from the contents of the reading sections and the python assigment. We were told to brush of our linear algebra during the last lecture of the week by which time I had already completed the quiz so the pointer came a little late. It would be useful if the recommended material to complete before starting the quiz was complete. This would improve the preparation and the also the value the quiz can bring as a test of your work on the course.	3 : 6-10 Hours
The general introduction helped a lot understanding the basic idea of features and labels. Especially the course book helped to understand it.	The quiz, as some questions were concerned with linear algebra. I could answer them correctly but was not expecting them at all in the quiz.	2 : 1-5 hours
The second Lecture "Drawing an Apple" because this realization really&nbsp;helps you to understand the topics	Trying to remember Algebra because even if I know the topic, I always can forget some details (such as scalar multiplication of an eigenvector is still same eigenvector)	3 : 6-10 Hours
My favourite topic of this round was Loss Functions, in particular their analytical and statistical properties.	'I was quite confused by the digression about the differences between neural networks versus decision trees, because I didn''t fully understand what a Neural Network is. I hope we will see something more about them in the future.'	4 : 10-20 hours
Gradient descent and linear regression, because I love how maths interact with computers also how data is visualized	jupyterhub, there were issues that I could run in my computer but not in the jupyterhub	3 : 6-10 Hours
The best part was the polynomial regression, because it was a generalization of the linear one, and it was interesting to notice how the predictino can change with the number of degrees in the function.	'I don''t think there was a part done badly, as everything was explained clearly.'	3 : 6-10 Hours
I guess best part was overall explaining of features and labels. I think machine learning as a concept is much more comprehensible after that.	After reading sections 1 and&nbsp; 2 from the course book and then completing the first quiz, I felt that I was unprepared for questions from quiz section "Matrices and Vectors". Other sections were much more clear.	3 : 6-10 Hours
-0	As someone who has worked on machine learning problems for work, the hypothesis space way of explaining machine learning, while correct, is not a very intuitive way of explaining machine learning.	2 : 1-5 hours
I really enjoyed the Jupyter Notebook exercise, good introduction to the libraries that are used in machine learning.	Eigenvalues and vectors and when matrix is invertible not fresh in the memory, some would have been nice.	3 : 6-10 Hours
The best part was the real life examples given throughout the lectures (number of apples on a tree based on a photo, image recognition based on a drawing...).	The worst part was perhaps the reading of the course book which was sometimes too detailed.	3 : 6-10 Hours
The hypothesis space is a very interesting approach to define the possible outputs that a ML algorithm can have	The covariance matrix and its properties were not explained well enough	3 : 6-10 Hours
2, i found something new	17, labels are easy to determine for people	2 : 1-5 hours
Coding Assignment -Task 3. This task not only helps me to know the methods of numpy, but also helps me to review the content of eigendecomposition.&nbsp;	Coding Assignment -Task 1. I thought there would be some function to help to solve the derivative, but in the end, I calculated it by hand.	3 : 6-10 Hours
'I consider the task2 files is the best part of this round, for reading files especially CSV files is the prerequisite to do machine learning, I''ve learned data mining before, and I totally understand how important it is.'	I think the task 0 is not as good as I expected, for I almost forgot all the knowledge about linear algebra. So it will be better, if more exercises about basic knowledge of linear algebra are provided.	4 : 10-20 hours
I liked how the requirements also contained tips and help with the exercises that were more difficult.I liked the last exercise as it was more complex.	I had a little confusion in the last exercise because in the requirements the&nbsp; number of the requirements were different than they were commented in the code:&nbsp;[3.2.] Stack the feature vectors row-wise into the "feature matrix"&nbsp;X=(x(1),…,x(N))T∈ℝN×dX=(x(1),…,x(N))T∈RN×d.&nbsp; is not the same as it is in the code for number 2 :&nbsp;#Step 2: compute the sample covariance of data.Other than this small confusion, it was not difficult.	2 : 1-5 hours
Features.I learn a lot about it from the course book through the examples. The description is very easy to understand.	Hypothesis Space.It lacks some exercises.	3 : 6-10 Hours
Loss Function. Because I think this is the key to machine learning algorithms,&nbsp; I know the goal is to minimize the loss function and I know how to get weights based on the loss function.	'I don''t think there is any worst part of this round.'	2 : 1-5 hours
Being fairly new to ML and python, I found task 1 to be really well laid out to give you a solid foundation about how to visualise the matrices and vectors and got you started off on the right foot for the other tasks that needed to be preformed and how to do so in the system that it was in.&nbsp;Side note: Throughout the whole Task sets I also like how everything is laid out and you know where you are supposed to put in your code - for people who were a little overwhelmed in the beginning, it was really great to see that even when the TAs are not around, there is still guidance so you were not totally stuck - you had some hints to google or look into the course book about.&nbsp;	I would not go as far to say the worst part but a section that was more difficult for me was that of Eigenvectors. (This may also be partly due to the fact that I started the second assignment) ... but in the second assignment it tells you what formula to execute in the code for the second (linear regression - 3.3 I believe). This could have also been linked in the question to help the students gain a better idea which formula they should code out. Looking back at the quiz and reading the sections again, it is a little more clear, but I think linking it to Equation 1 could have made the process a little faster but also give confidence that the student is working the right way.&nbsp;	4 : 10-20 hours
The general description of a machine learning problem was very interesting. I really appreciate that it follows a mathematical scheme and thus is very easy to understand.	I think all the topic/exercices were ok.	2 : 1-5 hours
I enjoyed the exercises, it was a nice "look into" how to start basic implementation of theoretical concepts.	It went a bit fast for a beginner.	3 : 6-10 Hours
Loss function!	NA	3 : 6-10 Hours
all python exercises (practical stuff)	cannot complain, this course is good :D	4 : 10-20 hours
Overview of the features and labels was interesting.	'The course book''s parts about loss function and hypothesis space were very burdensome to read.'	4 : 10-20 hours
Going into easily-understandable details about the mathematical background and not just mindlessly coding.	In the coding task, the text description of some tasks was inconsistent with the description in the code comment.	4 : 10-20 hours
Notebook in general is very good practical exercise that easily allow to grasp some basics of ML.	Maybe it would be nice if there will be some exercise based on real-life problem to better feel the subjects of ML.	2 : 1-5 hours
Task 3 from the Jupyter notebook was the best part of this round for me. In this exercise you had to read a csv file from the disk to the python module in order to make "data analysis".After that you had to transform the data from the csv file to numpy matrix and compute the covariance matrix using the given equation. After the function that gives the eigenvalues and eigenvectors of the covariance matrix C, you had to plot a scatter with the data loaded and the arrows showing the eigenvectors. I think that it was a really good start which exams a big range of knowledge in python, linear algebra and thinking.	I think that I did not find a useless part from this round. All exercises were good enough to help you start with the course.	3 : 6-10 Hours
In my opinion Task 2 was the best one. Doing this task we learn to first plot the data in its entirety to see if with the naked eye we can already simplify the problem. Sometimes we might get carried away asking the machine to do all the work, but we must remember that we, as humans coding, play a huge part.	'The worst part, in my opinion, was that I wasn''t able to correlate the theoretical lesson with the exercises. I liked them both separately, but I think that the lesson presented lots of topics without getting into detail and then the exercises didn''t really get into detail for most of the things either. Maybe it was because it was an introductory class and we will be going into more detail during the course.'	3 : 6-10 Hours
The exercise on eigenvalues and eigenvectors was a good revision of linear algebra concepts.	One of the quiz questions was a bit annoying, i believe it was question 3 which asked which was the right graph for the function. There were 3 options which were very similar to each other, which ended up being a test of intense observational skills instead of a conceptual or programming test.&nbsp;	2 : 1-5 hours
Task-2 was best part for me because i have learnt different plotting styles and how to make subsets of matrix.	Loss function and hypothesis space was tough for me. I had little idea about these things that why these bit complicated to me. I am trying to get more knowledge related to these thing through internet and books. 	3 : 6-10 Hours
Gradient Descent method.&nbsp;Was able to follow very well	Regarding Hypothesis Space.Pretty confused about the formulation of Hypothesis Space	3 : 6-10 Hours
'My favourite exercise was the task 3 out of the round''s notebook. What I liked about it was that you learn how to work with the data and make calculations first and then how to visualize the obtained results.'	'Well, the exercise was done well and everything was understandable. The only problem I had was initially with the Question 5 from Quiz. At first, I didn''t understand that you just have to work with the outcomes of this task, but when I realized it, it was clear and easy. Question 11 was tricky, requiring some additional knowledge, but I guess it is okay.'	2 : 1-5 hours
'JupyterHub - I like the idea of having to do the code before being able to do the quiz. I accepted that I haven''t done the code but I took the opportunity of having 3 attempts and a bit of previous knowledge in ML to do the quiz.'	'JupyterHub - if you don''t really have enough time to do the code, you can''t do the quiz. I also don''t like the typos questions. I can''t seem to find any typos and I am not sure if not finding anything is right or wrong.'	2 : 1-5 hours
Task 3 on eigan vectors was the best part for me. This is because it helped me learn the various plots in python and get my basics right.	Understanding of loss functions in the course book was the hardest for me since it found it difficult to follow what was written.	2 : 1-5 hours
I enjoyed the first lecture and introduction into the topic of machine learning. Together with the script, it was well described what is the essence of Machine Learning and made me curious to learn how to actually solve a Machine Learning Problem.&nbsp;	There was no "worse part" per se but I wished that before starting this course, more detailed information on how to prepare for it would have been given. The prerequisite of "Data Science" might not be given for students from diverse tracks or different backgrounds, hence more precise information on what to refresh in Linear Algebra or how to familiarise oneself with Python would have been useful.&nbsp;&nbsp;	4 : 10-20 hours
'The first exercise is the best part of this round since it is a good entry for the students who don''t know how to use the numpy and are not familiar with Python grammar like me. It shows a good example.'	'I think the worst part of this round is the exercise1. Because some of us haven''t learned how to draw those ''plots'', so we need to search and check a lot of information to make sure how to use it and whether the results we have got were right. I think maybe after finishing the quiz there should be some correct answer for us to check.'	4 : 10-20 hours
Get to know Jupyter notebooks.	Having to review a little bit of algebra.	2 : 1-5 hours
Features were easiest to understand	Loss function was most difficult to understand	4 : 10-20 hours
assignment exercises because they give a brief of linear algebra	the last parts about plotting data in Jupyter Notebook for Beginners.&nbsp;	5 : more than 20 hours
Task 3 in Python assignment- It taught me useful function&nbsp;about finding eigenvalues and vector for a given matrix	no comment	4 : 10-20 hours
Every topic in this section was covered through exercise and good practical knowledge obtained	Very lengthy because questions were based on the tasks from exercise so solving every one of them is a big task.	3 : 6-10 Hours
'I don''t really have preferred a part of this round over the other. This round was an introductive one, and I think it was graet to learn the basics of Machine Learning and python.And having examples in the book we have to read is great to help understand some notions.'	'The worst part would be the book we have to read : there is a lot to read and there are a lot of informations. I didn''t have any notions of ML, and it was not always easy. But by taking some time to review this a little, it should do.'	4 : 10-20 hours
Since I am not very familiar with python, I think just getting the basics of basic file management and also variables and how to do basic operations, and I would say this exercise covered it all.	I was a bit confused since my eigenvectors looked a bit off for some reason, and that was probably the most confusing part for me (but not a big deal anyway, overall this exercise was quite simple).	2 : 1-5 hours
'The difference between feature and label even if it''s complicated.'	Some definition are complicated for example the definition of label or loss function. I think the example are a little bit too complicated.	3 : 6-10 Hours
The data visualization. Python makes it very easy and fast.	Actually there was no bad part of this round.	4 : 10-20 hours
Last few questions(Q13- Q18) about features, label space, hypothesis space and loss function were the best part. It was taught well in class and also in the lecture notes.&nbsp;The questions were quite straightforward, so if you attend the class and read lecture notes you can easily get all of them right.&nbsp;	Eigen vector part was tougher, it has been a long time since I have studied matrices. To understand the concept of matrices, then figure out how to do the coding in python and then the quiz was the most challenging.&nbsp;Although some material related to matrices and vectors was provided it was too vast and time consuming to go through entire material.&nbsp;	3 : 6-10 Hours
The scatterplot in task 2 was pretty fun, because I like working with python. You can get so much done with so little code.	Question 2 was a little more challenging as I forgot a lot of the theory I learned in other semesters of my studies.	3 : 6-10 Hours
I liked the programming exercise. Especially the third one was interesting.	'The lecture sometimes is too slow and I start getting bored so I''m not shure weather I''ll attend the next lectures or read through the textbook myself.'	2 : 1-5 hours
Plotting data to visualize it. During my university career so far, I had to program based on data, but we also used it for higher-level purposes, so that we never really worked with the basic data. It was fun to see which results are already accessible at this stage.	Eigenvectors. Actually there was no really worst part, but eigenvectoren was the less fun :) 	4 : 10-20 hours
I really liked the approach to the Hypothesis Space. Never thought about how basically all machine learning techniques are very similar and can be distinguished by a set of hypotheses. 	'The derivation of gradient descent, even though very important, didn''t really fit in with the overview nature of the first round. '	3 : 6-10 Hours
'The 3rd exercise related to the eigenvectors, as I''d no clue they had any utility since i''m bad at algebra.Also having basic tutorials for the programs we''re going ot use all semester is great idea to have!'	'The 3rd exercise, since I realised I didn''t understand anything of algebra. Also I think repeating a lot of stuff in theoretical classes in confusing nad time consuming'	3 : 6-10 Hours
The 3rd exercise was good to understand the eigenvectors and their utility	The 3rd part was the most difficult	2 : 1-5 hours
Getting to know the matplotlib library	None	2 : 1-5 hours
I cannot pick a single argument because everything is connected as a whole, but I am really liking the course and how to build ML problems	I had some problems with the assignment because I have never learned python, but thanks to google I could fix my ignorance of python	4 : 10-20 hours
For me the best part was brief introduction to the most important libraries for Machine Learning, especially Task2.	Exercise 3, it was the most time consuming.	2 : 1-5 hours
I think the graph plotting is a very good introduction to the following topic because we gonna use it many times in the future.	None	3 : 6-10 Hours
I liked the exercise and learning python because it is a new program for me and i think it is importent to kow it.	i cant think of the worst part.&nbsp;	3 : 6-10 Hours
'I liked the way exercises are organized. I''ve never programmed in python before and it was easy to follow the instructions while learning to code in python with the resources provided'	'Algebra. I had forgotten most of my algebra knowledge, so I had to spend more time than I expected on refreshing those concepts. (I know it has nothing to do with the round itself, but I can''t say anything I disliked)'	3 : 6-10 Hours
The Cleaning Roboter in the Office Room, mentioned in the course book. The example is cute.	The discussion of decision boundaries does not appear in one place in the course book, but is scattered seemingly unstructured around chapter 2.	3 : 6-10 Hours
The Cleaning Roboter in the Office Room, mentioned in the course book. The example is cute.	The discussion of decision boundaries does not appear in one place in   the course book, but is scattered seemingly unstructured around chapter   2.	3 : 6-10 Hours
The coding assignment in general. It was very&nbsp; helpful to have an introductionary round such as this to catch-up on coding skills.	The eigenvector exercise. I spent numerous trial-and-error attempts to&nbsp; get the result of the function in correct order. Would be more helpful if it was explained in what order the result of the .eig function is displayed. Unfortunately, onlune resources were also not clear about this, and I mistakenly believed the "transposed" version of the eigenvectors I found were the correct answers. Only the quiz question made me realize the mistake.	3 : 6-10 Hours
I like the questions about conceptual things such as understanding the main concepts the keywords.&nbsp;	I had hard time understanding the eigenvector part.	3 : 6-10 Hours
In general the exercise are very helpful to get familiar with the programming language due my poor experience with python.	Give the typo error was a bit tricky and laborious, but I think that its purpose is to make us read the book, which is good anyways.Also I am not sure about this,&nbsp; but could say that if the purpose of this course is to learn about ML, Matlab could be the best environment to learn	4 : 10-20 hours
REfreshing of algebra	Algebra	2 : 1-5 hours
Visualizing the data in different ways (scatter, histogram)	I fount the round well balanced so no bad feedback	4 : 10-20 hours
For me, it might be the exercise task 3 about the Eigenvectors. When I learn about the linear algebra, I learn about the definition of eigenvectors but still confused about how it works. With the coding assignment, I understand the meaning of it in a visualized way and its a new knowledge to me.&nbsp;	None. Some work seems to be hard for me but none is useless, so...	3 : 6-10 Hours
:)	:)	2 : 1-5 hours
the distinction between features and labels	'there wasn''t any'	2 : 1-5 hours
//	The first two questions in the quiz were about matrix dimensions, rank & inversions. My algebra courses were a long time ago, maybe some theoretical refreshment in the exercise assignment?	2 : 1-5 hours
The example of Rumba in the course book helped well understanding the terms by a real example.	'can''t remember something worth mentioning.'	3 : 6-10 Hours
'I''m not sure if this counts, but I think the greatest part of this round was the second class, I think, when Alex realised that people haven''t understood some topics very well and then he made, from the scratch, an exercise about regression, with the apple example. It was amazing for me, because he took the feedback and still in the begging of the course he made a complete exercise, which really helps to completely understand the theory.'	'I couldn''t find a worst part, sorry.'	3 : 6-10 Hours
It was very interesting to calculate and plot the eigenvectors	'I haven''t used Python earlier. So, it was very demanding to do the exercises. I would have hoped, that there had been some tutorial to study. Now I had to study Python from many websites.And actually, I''m not sure if my way of coding was efficient at all.'	4 : 10-20 hours
The last question of the exercise was the best part. It helped me brush up my matrices concepts(Eigenvectors ).	Nothing.	4 : 10-20 hours
I would say the task 3 of the notebook where we had to plot the different data points and see how the first eigenvector captures the dimension with bigger variance of the dataset. The why is because it lets to see the graphical view of a mathematic concept which it will be useful in the future to apply dimension reduction techniques such as PCA.	None in particular, I would just point out that maybe more detailed information about inverse matrix and advantages of having an inverse matrix would be helpful.	2 : 1-5 hours
exercise 3 (eigenvectors), because it is a cool application of linear algebra 	exercise 1, because plotting functions is boring	3 : 6-10 Hours
Options. All the options to attend or view lectures. To do exercises in the garages or at home or online. With the help of slack or without. But I guees that is true for all the rounds, so I also enjoyed Roomba example and not jus having mathematical notation to better understand basics of ML.	The questions regarding the matrices seemed a bit out of the blue for in the quiz. Although 3 attempts still is a good deal.	2 : 1-5 hours
The best part was to learn how to use python libraries related to machine learning.	There werent any bad parts about this round. The notebook was helpfull and quite clear. THe explanations made on the lectures and the course book was also helpful and clear.	3 : 6-10 Hours
The examples (i.e.&nbsp;2.1.3 Example: Cryptocurrencies and the Rumba examples) are very helpful in clarifying many of the concepts talked about in the text.	Some of the chapters (i.e.&nbsp;2.2 Hypothesis Space) are slightly cluttered in a way that makes it difficult to figure out the main points of the text.	4 : 10-20 hours
The concept of feature vector and space was clearly explained&nbsp;	There was a little difficulty in comprehending the concept hypothesis space and what size it could have&nbsp;	3 : 6-10 Hours
Question 18 about hypothesis space. It helps me to understand more about how to calculate the number of elements in hypothesis space.	none	1 : less than 1 hour
Eigenvectors and their visualization. I just love to see how neatly it tells the concept of variance and capturing most of it with the help of decomposition.&nbsp;	The worst part for me was the html layout of the test, which totally confused me about which plot is "a", which is "b" etc., screwed two attempts because of that :D	2 : 1-5 hours
'The JupyterHub. It''s convenient.'	Nothing.	2 : 1-5 hours
I like the way how the assignment is presented. Very clear and also ask students to explore themselves.&nbsp;	Too many mathematical notions that I wish they could have been clarified more.&nbsp;	4 : 10-20 hours
I like the lectures. They give very good insight and understanding of the main point of the Course book and exercises.	Matirx manipulation has never been in my highest interest. Would need more concentration and learning of mathmatics.	3 : 6-10 Hours
Task 2 - Files: I liked to work with subsets of data.	Task 3 - Eigenvectors: More complex. I had some trouble with the exercise 3.5 and the direction of the eigenvectors (it does not seem clear).	3 : 6-10 Hours
'I liked how we were provided with a working "algorithm" for the complete analysis of a ML problem, from the definition of the data''s features to the choice of a suitable loss function and hypothesis space.'	I would have liked also a "more practical" part in each lecture, showing us how everything explained work on real data (as we are doing by ourselves in the notebooks).	2 : 1-5 hours
Plotting!As data scientist it will be a commun task in our work	I would say Math stuff, last time I studied math was about 4 years ago, it would be nice to have some slides with some basic we should know (not necessary to teach it during the lessons, just some slides in the platform)	3 : 6-10 Hours
shazam analogy.Provides an example of ML usage in real world.	800+ people enrolled at the course.&nbsp;If you are a little too late, could be hard to find an empty seat	3 : 6-10 Hours
'The second part, because it''s very interesting to bring raw data to graphics that you can obtain a lot of information (for example, a distribution of the data using a histogram)'	'I enjoyed all the parts, so i don''t think that there is a worst part'	3 : 6-10 Hours
The best part was definitely the example of classification of pictures of apples. I think it was the most fun example of machine learning so far.	The loss function explanation was way too "mathy" for me.	3 : 6-10 Hours
I found the lecture on Friday 14th very good. The method of describing an typical machine learning problem together worked really well for me.	The part where the loss-function was explained was not clear to me the first time. Maybe you could take more time to explain this topic.	3 : 6-10 Hours
I really liked the python tasks, well written and they revolved around implementations that are not only useful for Machine Learning, but can be used for other courses as well.	'I''m not sure if the questions about any typos are graded, or if they are just there for feedback. I couldn''t find any typos and i searched over and over.'	4 : 10-20 hours
For me, actually, the best part of this round was less about the ML concepts and more about the first touch with Phyton, because I had never used (although I used C and matlab at quite a good level) and I found the explanations very complete and useful	I would not say there worst parts.	2 : 1-5 hours
I think the programming exercises are good, because they helped me know more about python and machine learning	I think there are no worst part.	3 : 6-10 Hours
